benchmark,run,result
quadratic,baseline,785
quadratic,tdce,783
quadratic,global_constant_folding,783
quadratic,global_dce,783
quadratic,global_constant_folding_n_global_dce,783
quadratic,global_general_df_solver,785
primes-between,baseline,574100
primes-between,tdce,572102
primes-between,global_constant_folding,572102
primes-between,global_dce,572102
primes-between,global_constant_folding_n_global_dce,572102
primes-between,global_general_df_solver,574100
birthday,baseline,484
birthday,tdce,483
birthday,global_constant_folding,483
birthday,global_dce,483
birthday,global_constant_folding_n_global_dce,483
birthday,global_general_df_solver,484
orders,baseline,5352
orders,tdce,5352
orders,global_constant_folding,5352
orders,global_dce,5352
orders,global_constant_folding_n_global_dce,5352
orders,global_general_df_solver,5352
sum-check,baseline,5018
sum-check,tdce,5018
sum-check,global_constant_folding,5018
sum-check,global_dce,5018
sum-check,global_constant_folding_n_global_dce,5018
sum-check,global_general_df_solver,5018
palindrome,baseline,298
palindrome,tdce,295
palindrome,global_constant_folding,295
palindrome,global_dce,295
palindrome,global_constant_folding_n_global_dce,295
palindrome,global_general_df_solver,298
totient,baseline,253
totient,tdce,253
totient,global_constant_folding,253
totient,global_dce,253
totient,global_constant_folding_n_global_dce,253
totient,global_general_df_solver,253
relative-primes,baseline,1923
relative-primes,tdce,1914
relative-primes,global_constant_folding,1914
relative-primes,global_dce,1914
relative-primes,global_constant_folding_n_global_dce,1914
relative-primes,global_general_df_solver,1923
hanoi,baseline,99
hanoi,tdce,99
hanoi,global_constant_folding,99
hanoi,global_dce,99
hanoi,global_constant_folding_n_global_dce,99
hanoi,global_general_df_solver,99
is-decreasing,baseline,127
is-decreasing,tdce,127
is-decreasing,global_constant_folding,127
is-decreasing,global_dce,127
is-decreasing,global_constant_folding_n_global_dce,127
is-decreasing,global_general_df_solver,127
check-primes,baseline,8468
check-primes,tdce,8419
check-primes,global_constant_folding,8419
check-primes,global_dce,8419
check-primes,global_constant_folding_n_global_dce,8419
check-primes,global_general_df_solver,8468
sum-sq-diff,baseline,3038
sum-sq-diff,tdce,3036
sum-sq-diff,global_constant_folding,3036
sum-sq-diff,global_dce,3036
sum-sq-diff,global_constant_folding_n_global_dce,3036
sum-sq-diff,global_general_df_solver,3038
fitsinside,baseline,10
fitsinside,tdce,10
fitsinside,global_constant_folding,10
fitsinside,global_dce,10
fitsinside,global_constant_folding_n_global_dce,10
fitsinside,global_general_df_solver,10
fact,baseline,229
fact,tdce,228
fact,global_constant_folding,228
fact,global_dce,228
fact,global_constant_folding_n_global_dce,228
fact,global_general_df_solver,229
loopfact,baseline,116
loopfact,tdce,115
loopfact,global_constant_folding,115
loopfact,global_dce,115
loopfact,global_constant_folding_n_global_dce,115
loopfact,global_general_df_solver,116
recfact,baseline,104
recfact,tdce,103
recfact,global_constant_folding,103
recfact,global_dce,103
recfact,global_constant_folding_n_global_dce,103
recfact,global_general_df_solver,104
factors,baseline,72
factors,tdce,72
factors,global_constant_folding,72
factors,global_dce,72
factors,global_constant_folding_n_global_dce,72
factors,global_general_df_solver,72
perfect,baseline,232
perfect,tdce,232
perfect,global_constant_folding,232
perfect,global_dce,232
perfect,global_constant_folding_n_global_dce,232
perfect,global_general_df_solver,232
bitshift,baseline,167
bitshift,tdce,167
bitshift,global_constant_folding,167
bitshift,global_dce,167
bitshift,global_constant_folding_n_global_dce,167
bitshift,global_general_df_solver,167
digital-root,baseline,247
digital-root,tdce,247
digital-root,global_constant_folding,247
digital-root,global_dce,247
digital-root,global_constant_folding_n_global_dce,247
digital-root,global_general_df_solver,247
up-arrow,baseline,252
up-arrow,tdce,252
up-arrow,global_constant_folding,252
up-arrow,global_dce,252
up-arrow,global_constant_folding_n_global_dce,252
up-arrow,global_general_df_solver,252
sum-divisors,baseline,159
sum-divisors,tdce,159
sum-divisors,global_constant_folding,159
sum-divisors,global_dce,159
sum-divisors,global_constant_folding_n_global_dce,159
sum-divisors,global_general_df_solver,159
ackermann,baseline,1464231
ackermann,tdce,1464231
ackermann,global_constant_folding,1464231
ackermann,global_dce,1464231
ackermann,global_constant_folding_n_global_dce,1464231
ackermann,global_general_df_solver,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,tdce,61518
pythagorean_triple,global_constant_folding,61518
pythagorean_triple,global_dce,61518
pythagorean_triple,global_constant_folding_n_global_dce,61518
pythagorean_triple,global_general_df_solver,61518
euclid,baseline,563
euclid,tdce,562
euclid,global_constant_folding,562
euclid,global_dce,562
euclid,global_constant_folding_n_global_dce,562
euclid,global_general_df_solver,563
binary-fmt,baseline,100
binary-fmt,tdce,100
binary-fmt,global_constant_folding,100
binary-fmt,global_dce,100
binary-fmt,global_constant_folding_n_global_dce,100
binary-fmt,global_general_df_solver,100
lcm,baseline,2326
lcm,tdce,2326
lcm,global_constant_folding,2326
lcm,global_dce,2326
lcm,global_constant_folding_n_global_dce,2326
lcm,global_general_df_solver,2326
gcd,baseline,46
gcd,tdce,46
gcd,global_constant_folding,46
gcd,global_dce,46
gcd,global_constant_folding_n_global_dce,46
gcd,global_general_df_solver,46
catalan,baseline,659378
catalan,tdce,659378
catalan,global_constant_folding,659378
catalan,global_dce,659378
catalan,global_constant_folding_n_global_dce,659378
catalan,global_general_df_solver,659378
armstrong,baseline,133
armstrong,tdce,130
armstrong,global_constant_folding,130
armstrong,global_dce,130
armstrong,global_constant_folding_n_global_dce,130
armstrong,global_general_df_solver,133
pascals-row,baseline,146
pascals-row,tdce,139
pascals-row,global_constant_folding,139
pascals-row,global_dce,139
pascals-row,global_constant_folding_n_global_dce,139
pascals-row,global_general_df_solver,146
collatz,baseline,169
collatz,tdce,169
collatz,global_constant_folding,169
collatz,global_dce,169
collatz,global_constant_folding_n_global_dce,169
collatz,global_general_df_solver,169
sum-bits,baseline,73
sum-bits,tdce,73
sum-bits,global_constant_folding,73
sum-bits,global_dce,73
sum-bits,global_constant_folding_n_global_dce,73
sum-bits,global_general_df_solver,73
rectangles-area-difference,baseline,14
rectangles-area-difference,tdce,14
rectangles-area-difference,global_constant_folding,14
rectangles-area-difference,global_dce,14
rectangles-area-difference,global_constant_folding_n_global_dce,14
rectangles-area-difference,global_general_df_solver,14
mod_inv,baseline,558
mod_inv,tdce,555
mod_inv,global_constant_folding,555
mod_inv,global_dce,555
mod_inv,global_constant_folding_n_global_dce,555
mod_inv,global_general_df_solver,558
reverse,baseline,46
reverse,tdce,46
reverse,global_constant_folding,46
reverse,global_dce,46
reverse,global_constant_folding_n_global_dce,46
reverse,global_general_df_solver,46
fizz-buzz,baseline,3652
fizz-buzz,tdce,3552
fizz-buzz,global_constant_folding,3552
fizz-buzz,global_dce,3552
fizz-buzz,global_constant_folding_n_global_dce,3552
fizz-buzz,global_general_df_solver,3652
bitwise-ops,baseline,1690
bitwise-ops,tdce,1688
bitwise-ops,global_constant_folding,1688
bitwise-ops,global_dce,1688
bitwise-ops,global_constant_folding_n_global_dce,1688
bitwise-ops,global_general_df_solver,1690
cholesky,baseline,3761
cholesky,tdce,3750
cholesky,global_constant_folding,3750
cholesky,global_dce,3750
cholesky,global_constant_folding_n_global_dce,3750
cholesky,global_general_df_solver,3761
mat-inv,baseline,1044
mat-inv,tdce,1044
mat-inv,global_constant_folding,1044
mat-inv,global_dce,1044
mat-inv,global_constant_folding_n_global_dce,1044
mat-inv,global_general_df_solver,1044
dead-branch,baseline,1196
dead-branch,tdce,1196
dead-branch,global_constant_folding,1196
dead-branch,global_dce,1196
dead-branch,global_constant_folding_n_global_dce,1196
dead-branch,global_general_df_solver,1196
function_call,baseline,timeout
function_call,tdce,timeout
function_call,global_constant_folding,timeout
function_call,global_dce,timeout
function_call,global_constant_folding_n_global_dce,timeout
function_call,global_general_df_solver,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,tdce,142
ray-sphere-intersection,global_constant_folding,142
ray-sphere-intersection,global_dce,142
ray-sphere-intersection,global_constant_folding_n_global_dce,142
ray-sphere-intersection,global_general_df_solver,142
conjugate-gradient,baseline,1999
conjugate-gradient,tdce,1999
conjugate-gradient,global_constant_folding,1999
conjugate-gradient,global_dce,1999
conjugate-gradient,global_constant_folding_n_global_dce,1999
conjugate-gradient,global_general_df_solver,1999
leibniz,baseline,12499997
leibniz,tdce,12499997
leibniz,global_constant_folding,12499997
leibniz,global_dce,12499997
leibniz,global_constant_folding_n_global_dce,12499997
leibniz,global_general_df_solver,12499997
n_root,baseline,733
n_root,tdce,733
n_root,global_constant_folding,733
n_root,global_dce,733
n_root,global_constant_folding_n_global_dce,733
n_root,global_general_df_solver,733
newton,baseline,217
newton,tdce,217
newton,global_constant_folding,217
newton,global_dce,217
newton,global_constant_folding_n_global_dce,217
