,benchmark,baseline,global_constant_folding,global_constant_folding_n_global_dce,global_dce,global_general_df_solver,tdce
0,ackermann,1464231,1464231,1464231,1464231,1464231,1464231
1,adj2csr,56629,56629,56629,56629,56629,56629
2,adler32,6851,6850,6850,6850,6851,6850
3,armstrong,133,130,130,130,133,130
4,binary-fmt,100,100,100,100,100,100
5,binary-search,78,75,75,75,78,75
6,birthday,484,483,483,483,484,483
7,bitshift,167,167,167,167,167,167
8,bitwise-ops,1690,1688,1688,1688,1690,1688
9,bubblesort,253,253,253,253,253,253
10,catalan,659378,659378,659378,659378,659378,659378
11,check-primes,8468,8419,8419,8419,8468,8419
12,cholesky,3761,3750,3750,3750,3761,3750
13,collatz,169,169,169,169,169,169
14,conjugate-gradient,1999,1999,1999,1999,1999,1999
15,cordic,517,516,516,516,517,516
16,csrmv,121202,120652,120652,120652,121202,120652
17,dead-branch,1196,1196,1196,1196,1196,1196
18,digital-root,247,247,247,247,247,247
19,dot-product,88,88,88,88,88,88
20,eight-queens,1006454,959702,959702,959702,1006454,959702
21,euclid,563,562,562,562,563,562
22,euler,1908,1907,1907,1907,1908,1907
23,fact,229,228,228,228,229,228
24,factors,72,72,72,72,72,72
25,fib,121,121,121,121,121,121
26,fitsinside,10,10,10,10,10,10
27,fizz-buzz,3652,3552,3552,3552,3652,3552
28,function_call,timeout,timeout,timeout,timeout,timeout,timeout
29,gcd,46,46,46,46,46,46
30,hanoi,99,99,99,99,99,99
31,is-decreasing,127,127,127,127,127,127
32,lcm,2326,2326,2326,2326,2326,2326
33,leibniz,12499997,12499997,12499997,12499997,12499997,12499997
34,loopfact,116,115,115,115,116,115
35,major-elm,47,47,47,47,47,47
36,mandelbrot,2720947,2720813,2720813,2720813,2720947,2720813
37,mat-inv,1044,1044,1044,1044,1044,1044
38,mat-mul,1990407,1990407,1990407,1990407,1990407,1990407
39,max-subarray,193,193,193,193,193,193
40,mod_inv,558,555,555,555,558,555
41,n_root,733,733,733,733,733,733
42,newton,217,217,217,217,217,217
43,norm,505,505,505,505,505,505
44,orders,5352,5352,5352,5352,5352,5352
45,palindrome,298,295,295,295,298,295
46,pascals-row,146,139,139,139,146,139
47,perfect,232,232,232,232,232,232
48,pow,36,34,34,34,36,34
49,primes-between,574100,572102,572102,572102,574100,572102
50,primitive-root,11029,11024,11024,11024,11029,11024
51,pythagorean_triple,61518,61518,61518,61518,61518,61518
52,quadratic,785,783,783,783,785,783
53,quickselect,279,279,279,279,279,279
54,quicksort,264,264,264,264,264,264
55,quicksort-hoare,27333,27333,27333,27333,27333,27333
56,ray-sphere-intersection,142,142,142,142,142,142
57,recfact,104,103,103,103,104,103
58,rectangles-area-difference,14,14,14,14,14,14
59,relative-primes,1923,1914,1914,1914,1923,1914
60,reverse,46,46,46,46,46,46
61,riemann,298,298,298,298,298,298
62,sieve,3482,3454,3454,3454,3482,3454
63,sqrt,322,321,321,321,322,321
64,sum-bits,73,73,73,73,73,73
65,sum-check,5018,5018,5018,5018,5018,5018
66,sum-divisors,159,159,159,159,159,159
67,sum-sq-diff,3038,3036,3036,3036,3038,3036
68,totient,253,253,253,253,253,253
69,two-sum,98,88,88,88,98,88
70,up-arrow,252,252,252,252,252,252
71,vsmul,86036,86036,86036,86036,86036,86036
