,benchmark,baseline,tdce,global_dce,global_constant_folding_and_dce,loop_optimization,dead_store_elimination
0,,1464231.0,1464231.0,1464231.0,1464231.0,1464231.0,1464231.0
1,,56629.0,56629.0,56629.0,56629.0,56629.0,56629.0
2,,6851.0,6850.0,6850.0,6850.0,6851.0,6851.0
3,,133.0,130.0,130.0,130.0,133.0,133.0
4,,100.0,100.0,100.0,100.0,100.0,100.0
5,,78.0,75.0,75.0,75.0,78.0,78.0
6,,484.0,483.0,483.0,483.0,484.0,484.0
7,,167.0,167.0,167.0,167.0,167.0,167.0
8,,1690.0,1688.0,1688.0,1688.0,1690.0,1690.0
9,,253.0,253.0,253.0,253.0,253.0,253.0
10,,659378.0,659378.0,659378.0,659378.0,659378.0,659378.0
11,,8468.0,8419.0,8419.0,8419.0,8468.0,8468.0
12,,3761.0,3750.0,3750.0,3750.0,3761.0,3761.0
13,,169.0,169.0,169.0,169.0,169.0,169.0
14,,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0
15,,517.0,516.0,516.0,516.0,509.0,517.0
16,,121202.0,120652.0,120652.0,120652.0,121202.0,121202.0
17,,1196.0,1196.0,1196.0,1196.0,1097.0,1196.0
18,,247.0,247.0,247.0,247.0,247.0,247.0
19,,88.0,88.0,88.0,88.0,88.0,88.0
20,,1006454.0,959702.0,959702.0,959702.0,1006454.0,1006454.0
21,,563.0,562.0,562.0,562.0,563.0,563.0
22,,1908.0,1907.0,1907.0,1907.0,1908.0,1908.0
23,,229.0,228.0,228.0,228.0,229.0,229.0
24,,72.0,72.0,72.0,72.0,72.0,72.0
25,,121.0,121.0,121.0,121.0,121.0,121.0
26,,10.0,10.0,10.0,10.0,10.0,10.0
27,,3652.0,3552.0,3552.0,3552.0,3652.0,3652.0
28,,,,,,,
29,,46.0,46.0,46.0,46.0,46.0,46.0
30,,99.0,99.0,99.0,99.0,99.0,99.0
31,,127.0,127.0,127.0,127.0,,127.0
32,,2326.0,2326.0,2326.0,2326.0,2198.0,2326.0
33,,,,,,,
34,,116.0,115.0,115.0,115.0,108.0,116.0
35,,47.0,47.0,47.0,47.0,47.0,47.0
36,,2720947.0,2720813.0,2720813.0,2720813.0,2710495.0,2720947.0
37,,1044.0,1044.0,1044.0,1044.0,1044.0,1044.0
38,,1990407.0,1990407.0,1990407.0,1990407.0,1990407.0,1990407.0
39,,193.0,193.0,193.0,193.0,193.0,193.0
40,,558.0,555.0,555.0,555.0,544.0,558.0
41,,733.0,733.0,733.0,733.0,733.0,733.0
42,,217.0,217.0,217.0,217.0,217.0,217.0
43,,505.0,505.0,505.0,505.0,505.0,505.0
44,,5352.0,5352.0,5352.0,5352.0,5022.0,5352.0
45,,298.0,295.0,295.0,295.0,298.0,298.0
46,,146.0,139.0,139.0,139.0,146.0,146.0
47,,232.0,232.0,232.0,232.0,232.0,232.0
48,,36.0,34.0,34.0,34.0,35.0,36.0
49,,574100.0,572102.0,572102.0,572102.0,574100.0,574100.0
50,,11029.0,11024.0,11024.0,11024.0,11029.0,11029.0
51,,61518.0,61518.0,61518.0,61518.0,61518.0,61518.0
52,,785.0,783.0,783.0,783.0,743.0,785.0
53,,279.0,279.0,279.0,279.0,279.0,279.0
54,,264.0,264.0,264.0,264.0,264.0,264.0
55,,27333.0,27333.0,27333.0,27333.0,27333.0,27333.0
56,,142.0,142.0,142.0,142.0,142.0,142.0
57,,104.0,103.0,103.0,103.0,104.0,104.0
58,,14.0,14.0,14.0,14.0,14.0,14.0
59,,1923.0,1914.0,1914.0,1914.0,1903.0,1923.0
60,,46.0,46.0,46.0,46.0,46.0,46.0
61,,298.0,298.0,298.0,298.0,298.0,298.0
62,,3482.0,3454.0,3454.0,3454.0,3482.0,3482.0
63,,322.0,321.0,321.0,321.0,322.0,322.0
64,,73.0,73.0,73.0,73.0,73.0,73.0
65,,5018.0,5018.0,5018.0,5018.0,5018.0,5018.0
66,,159.0,159.0,159.0,159.0,159.0,159.0
67,,3038.0,3036.0,3036.0,3036.0,3038.0,3038.0
68,,253.0,253.0,253.0,253.0,253.0,253.0
69,,98.0,88.0,88.0,88.0,,98.0
70,,252.0,252.0,252.0,252.0,252.0,252.0
71,,86036.0,86036.0,86036.0,86036.0,86036.0,86036.0
